Rank,Author,Score,Students
64,"Timothy  Bresnahan Stanford Institute for Economic Policy Research (SIEPR), Stanford University, Stanford, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",75.79,8
65,"Paul R. Krugman Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",76.48,8.5
66,T. N. Srinivasan †,76.84,7
67,"Daniel L. McFadden Department of Economics, University of California-Berkeley, Berkeley, California (USA)Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",77.06,5
68,"Per  Krusell Institute for International Economic Studies (IIES), Stockholms Universitet, Stockholm, Sweden",77.25,25
69,Martin S. Feldstein †,77.61,4.5
70,"Michael C. Lovell Economics Department, Wesleyan University, Middletown, Connecticut (USA)",79.04,2
71,"Costas  Azariadis Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",79.5,10.5
72,"N. Gregory  Mankiw Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",79.84,7
73,"Fernando  Alvarez Department of Economics, University of Chicago, Chicago, Illinois (USA)",83.47,15
74,Tjalling C. Koopmans †,83.87,5
75,James  Tobin †,83.9,6
76,"Francois J. Bourguignon Paris School of Economics, Paris, France",84.08,17.5
77,"Klaus F. Zimmermann United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",84.5,16.5
78,Halbert  White †,85.1,4.5
79,"Michael  Darby Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",85.15,1
80,Richard  Stone †,85.95,3
81,"Steven N. Durlauf Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",86.18,21
82,"Stephen John Nickell Economics Group, Nuffield College, Department of Economics, Oxford University, Oxford, United KingdomDepartment of Economics, Oxford University, Oxford, United Kingdom",87.55,9
83,"Stanley W. Black Department of Economics, University of North Carolina-Chapel-Hill, Chapel Hill, North Carolina (USA)",88.67,1.5
84,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",89.12,6
85,"Mark W. Watson Department of Economics, Princeton University, Princeton, New Jersey (USA)",89.34,3.5
86,Leonid  Hurwicz †,90.17,9
87,"Jose-Victor  Rios-Rull Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",90.93,15
88,Robert William Fogel †,91.07,5
89,Alan B. Krueger †,94.37,11
90,John  Leahy,98.08,6
91,"Robert W. Staiger Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",98.42,15
92,"Andrew C. Harvey Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",100.59,9.5
93,"Avinash Kamalakar Dixit Department of Economics, Princeton University, Princeton, New Jersey (USA)",100.74,2.5
94,"Louis John Maccini Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",102.13,3.5
95,"George A. Akerlof Department of Economics, University of California-Berkeley, Berkeley, California (USA)",102.62,10.5
96,"John  Geweke Economics Discipline Group, Business School, University of Technology Sydney, Sydney, Australia",102.73,15
97,Alberto Francesco Alesina †,102.83,7.5
98,Franco  Modigliani †,104.58,3
99,"David Knudsen Levine Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute, Firenze, Italy",105.68,14.5
100,Gary S. Becker †,106.3,10.5
101,Jeffrey Gale Williamson,106.76,4
102,"Jacques H. Dreze Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",107.34,9
103,"John  Haltiwanger Department of Economics, University of Maryland, College Park, Maryland (USA)",107.38,21.5
104,"James  Hamilton Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",108.13,17
105,William  Thomson,108.27,28
106,Gerard  Debreu †,109.64,4
107,Lionel W. McKenzie †,110.25,4.5
108,"John Michael van Reenen Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",111.62,6
109,"Paul A. David Department of Economics, Stanford University, Stanford, California (USA)",111.95,6
110,"Bruno S. Frey Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",113.64,8
111,"Robert M. Townsend Department of Economics, University of Chicago, Chicago, Illinois (USA)Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",115.91,9
112,"Edward J. Kane Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts (USA)",118.11,5
113,Paul A. Samuelson †,118.26,2
114,"Peter  Nijkamp Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",129.21,9.5
115,"Ben S. Bernanke Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",129.56,4.5
116,"Christopher R. Udry Department of Economics, Northwestern University, Evanston, Illinois (USA)",129.9,19.5
117,"Robert B Barsky Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",131.41,6
118,"Richard B. Freeman Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomNational Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",131.81,2
119,"Alvin E. Roth Department of Economics, Stanford University, Stanford, California (USA)",132.44,9
120,Jean-Jacques  Laffont †,134.32,8.5
121,"Herve  Moulin Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",135.06,10.5
122,"Heinrich W. Ursprung Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",135.28,9
123,"Glenn  Ellison Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",137.31,12
124,"Robert J. Aumann Center for the Study of Rationality, Hebrew University of Jerusalem, Jerusalem, Israel",138.62,4
125,"Joel  Slemrod Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",138.71,21
126,"Charles  Wyplosz International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",142.22,15
127,"Randall  Wright Department of Finance, Investment and Banking, School of Business, University of Wisconsin-Madison, Madison, Wisconsin (USA)Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",143.9,17
128,"Matthew D. Shapiro Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",145.57,4.5
129,"Jerry  Green Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",146.01,4
130,"Gene  Grossman International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",146.41,5
131,"Lee Edward Ohanian Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",148.08,13.5
132,"Varadarajan  Chari Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",148.68,12.5
133,"Martin  Eichenbaum Department of Economics, Northwestern University, Evanston, Illinois (USA)",149.33,7
134,"James H. Stock Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",151.22,3.5
135,"Edward E. Leamer Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",151.88,4
136,"Christopher A Pissarides Economics Department, London School of Economics (LSE), London, United KingdomDepartment of Economics, Faculty of Economics and Management, University of Cyprus, Nicosia, Cyprus",152.91,5.5
137,"John B. Taylor Department of Economics, Stanford University, Stanford, California (USA)Hoover Institution on War Revolution & Peace, Stanford University, Stanford, California (USA)",154.19,3.5
138,"Jonathan  Gruber Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",155.61,6.5
139,Milton  Friedman †,155.63,5.5
140,E. Philip Howrey †,157.76,1
141,"David F. Hendry Department of Economics, Oxford University, Oxford, United Kingdom",158.13,8.5
142,"Robert Ernest Hall Department of Economics, Stanford University, Stanford, California (USA)",159.15,4.5
143,Herschel I. Grossman †,160.6,3
144,"Jaume  Ventura Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, SpainDepartament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",161.65,8.5
145,"Susanto  Basu Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",163.22,5
146,Dale T. Mortensen †,163.65,8
147,"Gary  Solon Economics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)",164.44,7.5
148,"James  MacKinnon Economics Department, Queen's University, Kingston, Canada",167.34,4
149,Robert E. Baldwin †,169.55,4.5
150,"Narayana  Kocherlakota Economics Department, University of Rochester, Rochester, New York (USA)",171.15,11
151,Simon  Kuznets †,171.2,3
152,"Alan  Auerbach Robert D. Burch Center for Tax Policy and Public Finance, Department of Economics, University of California-Berkeley, Berkeley, California (USA)",172.15,8.5
153,"John S. Chipman Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",173.76,8.5
154,"Martin F. Hellwig Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Max-Planck-Gesellschaft, Bonn, Germany",177.45,16
155,Gary R. Saxonhouse †,177.71,6
156,"Angus S. Deaton Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",178.51,4.5
157,"Marcel K. Richter Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",179.76,9
158,"Teun  Kloek Tinbergen Instituut, Amsterdam, NetherlandsFaculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",180.12,4
159,"Esther  Duflo Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",181.2,8.5
160,"Janet  Currie Department of Economics, Princeton University, Princeton, New Jersey (USA)Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",183.74,14.5
161,"Ernst  Fehr Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",184.57,2
162,"Pierre  Perron Department of Economics, Boston University, Boston, Massachusetts (USA)",184.9,9.5
163,Clive W. J. Granger †,186.09,9
164,"Christian  Dustmann Department of Economics, University College London (UCL), London, United KingdomCentre for Research and Analysis of Migration (CReAM), University College London (UCL), London, United Kingdom",188.19,13
165,"James E. Anderson Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",188.31,10
166,"Oliver D. Hart Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",188.68,4.5
167,"Ronald  Findlay Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",188.81,2.5
168,"Lionel  Fontagne Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",189.82,18
169,"Michael  Grossman Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",194.87,8
170,Ronald I. McKinnon †,195.44,3
171,"Matthew  Rabin Department of Economics, University of California-Berkeley, Berkeley, California (USA)",195.45,2.5
172,"Sweder  van Wijnbergen Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsTinbergen Instituut, Amsterdam, Netherlands",196.31,1
173,"Michael  Kremer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",196.77,3.5
174,"William A. Brock Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)Economics Department, University of Missouri, Columbia, Missouri (USA)",200.12,4.5
175,"James E. Wilen Department of Agricultural and Resource Economics, University of California-Davis, Davis, California (USA)",200.19,23.5
176,"Robert  Moffitt Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",200.31,5
177,"Henri R. Sneessens Institut de Recherche Économique et Sociale (IRES), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",201.23,9.5
178,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",201.44,8.5
179,Larry A. Sjaastad †,201.73,14.5
180,"Ross  Levine National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",203.36,1
181,"Andrew J. Oswald Department of Economics, University of Warwick, Coventry, United KingdomInstitute of Labor Economics (IZA), Bonn, Germany",203.51,3
182,"Hal Ronald Varian Department of Economics, University of California-Berkeley, Berkeley, California (USA)",204.2,3.5
183,"Bernard M.S. van Praag Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsSchooling, Labor Market and Economic Development (SCHOLAR), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",204.88,3
184,"James  Andreoni Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",205.25,7
185,"Daniel  Trefler Business Economics, Rotman School of Management, University of Toronto, Toronto, Canada",206.29,8
186,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",206.3,4
187,"Michael P Keane School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",206.66,15.5
188,"Thomas  Piketty Paris School of Economics, Paris, France",206.73,10
189,"Christian  Zimmermann Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",209.38,14.5
190,"J. Vernon  Henderson Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",210.27,6.5
191,"Larry E. Jones Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",211.68,11.5
192,"Kenneth S Rogoff Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",211.89,5
193,"Larry G. Epstein Department of Economics, Boston University, Boston, Massachusetts (USA)",212.67,5.5
194,"Jordi  Gali Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",213.46,10.5
195,"Steven  Stern Economics Department, Stony Brook University - SUNY, Stony Brook, New York (USA)",215.18,17
196,"Jo Anna Gray Department of Economics, University of Oregon, Eugene, Oregon (USA)",215.86,3
197,Carl F. Christ †,216.66,3.5
198,"Wilfred John Ethier Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",219.27,6
199,"John  Micklewright Department of Social Sciences, Institute of Education, University College London (UCL), London, United Kingdom",219.42,2.5
200,"Richard  Rogerson Department of Economics, Princeton University, Princeton, New Jersey (USA)",220.5,6.5
201,"Kenneth Frank Wallis Department of Economics, University of Warwick, Coventry, United Kingdom",220.92,5
202,"Andreu  Mas-Colell Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",220.94,3
203,"David M. Cutler Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",221.02,8.5
204,"Giovanni Luca Violante Department of Economics, New York University (NYU), New York City, New York (USA)",221.06,8
205,"Jean-Francois  Richard Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",222.57,5
206,"David  Schmeidler Coller School of Management, Tel Aviv University, Tel Aviv, Israel",222.83,2
207,Anthony Barnes Atkinson †,224.37,4.5
208,"George  Tauchen Department of Economics, Duke University, Durham, North Carolina (USA)",225.12,6
209,"Albert  Marcet Department of Economics, University College London (UCL), London, United Kingdom",226.12,13
210,"Fabio  Canova Institutt for samfunnsøkonomi, BI Handelshøyskolen, Oslo, Norway",226.29,7.5
211,"Giuseppe  Moscarini Economics Department, Yale University, New Haven, Connecticut (USA)",226.72,12
212,"Charles H. Whiteman Smeal College of Business Administration, Pennsylvania State University, State College, Pennsylvania (USA)",227.72,5
213,"George J. Mailath Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",229.92,9
214,"Whitney  Newey Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",231.26,3
215,"Jacques François Thisse Center for Market Studies and Spatial Economics, Saint Petersburg Branch, National Research University Higher School of Economics, St. Petersburg, Russia",233.03,2.5
216,"Marco  Vivarelli Dipartimento di Politica Economica, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Italy",238.49,16
217,Robert M. Stern †,239.55,4
218,"Michael Christopher Burda Institut für Wirtschaftstheorie II, Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, GermanySchumpeter Institut, Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, Germany",240.06,15
219,"Eugene F. Fama Sr.Booth School of Business, University of Chicago, Chicago, Illinois (USA)",240.16,4
220,"Hans-Werner  Sinn ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",241.33,4
221,Theodore W. Schultz †,242.67,2
222,"David Isaac Laibson Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",243.15,4.5
223,"Robert G. Murphy Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",244.52,6
224,"James E. H. Davidson Business School, University of Exeter, Exeter, United Kingdom",245.62,1
225,"Enrique G. Mendoza Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",249.67,9
226,"Dan  Bernhardt Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)Department of Economics, University of Warwick, Coventry, United Kingdom",250.67,11
227,Robert W. Rosenthal †,250.95,4.5
228,"Bent E. Sorensen Department of Economics, University of Houston, Houston, Texas (USA)",251.95,8.5
229,"Michele  Boldrin Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",254.4,8
230,"Itzhak  Gilboa Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, IsraelHEC Paris (École des Hautes Études Commerciales), Jouy-en-Josas, France",254.86,5
231,"Manuel  Arellano Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",256.55,8
232,"Jean  Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",256.6,5
233,Horst  Siebert †,257.79,1
234,"Gerard  Ballot Centre de Recherche en Économie et Droit (CRED), Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II), Paris, France",258.2,6.5
235,"Kenneth D. West Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",258.98,9.5
236,"Morten Overgaard Ravn Department of Economics, University College London (UCL), London, United Kingdom",259.3,17
237,"Jean Henri Paul Paelinck Tinbergen Instituut, Amsterdam, Netherlands",259.64,1
238,"Bennett  McCallum Department of Economics, Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",260.25,2.5
239,"Jeremy C. Stein Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",261.06,3
240,"Richard E. Just Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",264.16,5.5
241,"Nancy L. Stokey Department of Economics, University of Chicago, Chicago, Illinois (USA)",264.17,4.5
242,"Peter Joseph Kuhn Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",265.11,9
243,"Lucrezia  Reichlin Department of Economics, London Business School (LBS), London, United KingdomCentre for Economic Policy Research (CEPR), London, United Kingdom",269.62,3
244,"Fabio  Schiantarelli Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",270.69,9.5
245,"Stephen D. Williamson Department of Economics, University of Western Ontario, London, Canada",272.87,11.5
246,Sanford Jay Grossman,275.64,3
247,Piet  Rietveld †,277.85,14
248,"Charles Richard Bean Economics Department, London School of Economics (LSE), London, United Kingdom",279.39,3.5
249,"Richard  Baldwin International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",280,8
250,"B  Ravikumar Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",282.38,21
251,"David  Blau Department of Economics, Ohio State University, Columbus, Ohio (USA)",282.55,4
252,"Aviv  Nevo Center for the Study of Industrial Organization (CSIO), Department of Economics, Northwestern University, Evanston, Illinois (USA)",283.04,8
253,"Steven A. Matthews Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",283.08,5.5
254,"Willem Hendrik Buiter School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)Maurice R. Greenberg Center for Geoeconomic Studies, Council on Foreign Relations, Washington, District of Columbia (USA)",283.61,1.5
255,"Egbert  Dierker Institut für Höhere Studien (IHS), Wien, AustriaInstitut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",284.41,1
256,"Milton  Harris Applied Economics Workshop, Booth School of Business, University of Chicago, Chicago, Illinois (USA)",285.19,1
257,"Nelson C. Mark Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",286.56,9
258,"Richard J. Arnott Department of Economics, University of California-Riverside, Riverside, California (USA)",286.77,9.5
259,"Clemens  Fuest ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",286.93,6.5
260,"John  Kennan Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",287.74,5
261,"John  Roberts Graduate School of Business, Stanford University, Stanford, California (USA)",288.41,2
262,"Michael P. Devereux Centre for Business Taxation, Saïd Business School, Oxford University, Oxford, United Kingdom",288.93,0.5
263,"Stephen Walter Salant Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",289.83,5
264,"Dennis C. Mueller Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",291.91,2.5
265,"David  Easley Department of Economics, Cornell University, Ithaca, New York (USA)",292.3,5.5
266,"Joseph G. Altonji Economics Department, Yale University, New Haven, Connecticut (USA)",292.76,5
