nb_downl,Surname,First,nb_pages,Author_clean,Students,nb_works,h_index,Author,nb_cit,vn_award,clark,nobel,Country,top10_shangai_yn
1983,Imbens,Guido,1435,Guido Imbens,2.0,235,42,"Guido Imbens Graduate School of Business, Stanford University, Stanford, California (USA)",10710,0,0,0,(USA),1
1982,Brunnermeier,Markus,858,Markus K. Brunnermeier,4.5,165,23,"Markus K. Brunnermeier Department of Economics, Princeton University, Princeton, New Jersey (USA)",4810,0,0,0,(USA),1
1978,de,Jakob,2994,Jakob de,1.5,386,39,"Jakob de Haan Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",5403,0,0,0, Netherlands,0
1953,Richard,Philip,1600,Philip Richard,1.5,305,35,"Philip Richard Lane Department of Economics, Trinity College Dublin, Dublin, IrelandEuropean Central Bank, Frankfurt am Main, Germany",5991,0,0,0, Germany,0
1951,Mankiw,N.,1448,N. Gregory Mankiw,7.0,255,55,"N. Gregory Mankiw Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",14943,0,0,0,(USA),1
1946,MacKinnon,James,1349,James MacKinnon,4.0,215,30,"James MacKinnon Economics Department, Queen's University, Kingston, Canada",6752,0,0,0, Canada,0
1937,Machin,Stephen,2557,Stephen Machin,2.0,450,39,"Stephen Machin Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",5606,0,0,0, United Kingdom,1
1916,Klasen,Stephan,2518,Stephan Klasen,7.5,376,24,"Stephan Klasen CRC ""Armut, Ungleichheit und Wachstum in Entwicklungsländern"", Georg-August-Universität Göttingen, Göttingen, Germany",1916,0,0,0, Germany,0
1914,Crafts,Nicholas,1874,Nicholas Crafts,1.0,298,18,"Nicholas Crafts Department of Economics, University of Warwick, Coventry, United Kingdom",1341,0,0,0, United Kingdom,0
1912,Kahn,Matthew,1724,Matthew E. Kahn,6.5,218,30,"Matthew E. Kahn Department of Economics, University of Southern California, Los Angeles, California (USA)",3522,0,0,0,(USA),0
1909,Mishkin,Frederic,1899,Frederic Mishkin,1.0,287,51,"Frederic Mishkin Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",7678,0,0,0,(USA),1
1898,Alan,James,1615,James Alan,2.0,213,38,"James Alan Robinson Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",10855,0,0,0,(USA),1
1868,Jorda,Oscar,951,Oscar Jorda,1.0,195,20,"Oscar Jorda Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",1818,0,0,0,(USA),0
1861,J.,Clive,1862,Clive W. J.,9.0,232,48,Clive W. J. Granger †,22644,0,0,0,None,0
1855,Gorodnichenko,Yuriy,1442,Yuriy Gorodnichenko,7.0,204,31,"Yuriy Gorodnichenko Department of Economics, University of California-Berkeley, Berkeley, California (USA)",3885,0,0,0,(USA),1
1850,Helpman,Elhanan,2170,Elhanan Helpman,2.5,407,50,"Elhanan Helpman Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",15065,0,0,0,(USA),1
1843,Autor,David,1608,David Autor,3.5,186,41,"David Autor Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",9388,0,0,0,(USA),1
1834,Hausmann,Ricardo,839,Ricardo Hausmann,1.0,244,30,"Ricardo Hausmann Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)Center for International Development, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",4589,0,0,0,(USA),1
1828,Calvo,Guillermo,1733,Guillermo A. Calvo,1.0,251,42,"Guillermo A. Calvo School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",11947,0,0,0,(USA),1
1825,Woodford,Michael,2539,Michael Woodford,14.5,319,56,"Michael Woodford Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",11558,0,0,0,(USA),1
1824,Fernandez-Villaverde,Jesus,801,Jesus Fernandez-Villaverde,1.0,221,26,"Jesus Fernandez-Villaverde Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",2426,0,0,0,(USA),0
1817,Alexander,Jeffrey,2178,Jeffrey Alexander,10.5,592,54,"Jeffrey Alexander Frankel Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",13291,0,0,0,(USA),1
1804,Mayer,Thierry,1177,Thierry Mayer,7.5,388,32,"Thierry Mayer Department of Economics, Sciences économiques, Sciences Po, Paris, France",5361,0,0,0, France,0
1801,Becker,Sascha,1155,Sascha O. Becker,1.5,245,28,"Sascha O. Becker Department of Economics, Monash Business School, Monash University, Melbourne, Australia",3191,0,0,0, Australia,0
1786,ifo,Ludger,2276,Ludger Woessmann ifo,12.0,500,36,"Ludger Woessmann ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",4598,0,0,0, Germany,0
1782,Bahmani-Oskooee,Mohsen,6142,Mohsen Bahmani-Oskooee,6.0,431,25,"Mohsen Bahmani-Oskooee Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",2745,0,0,0,(USA),0
1778,Obstfeld,Maurice,2409,Maurice Obstfeld,16.5,381,50,"Maurice Obstfeld Department of Economics, University of California-Berkeley, Berkeley, California (USA)",12780,1,0,0,(USA),1
1765,Ernst,Jan,761,Jan Ernst,4.5,151,22,"Jan Ernst Fagerberg Senter for teknologi, innovasjon og kultur (TIK), Universitetet i Oslo, Oslo, Norway",2468,0,0,0, Norway,0
1749,Havranek,Tomas,848,Tomas Havranek,7.0,153,21,"Tomas Havranek Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1638,0,0,0, Czech Republic,0
1740,Hausman,Jerry,1738,Jerry A. Hausman,8.0,183,45,"Jerry A. Hausman Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",12578,0,1,0,(USA),1
1734,Mullainathan,Sendhil,1160,Sendhil Mullainathan,1.0,151,34,"Sendhil Mullainathan Booth School of Business, University of Chicago, Chicago, Illinois (USA)",7581,0,0,0,(USA),1
1713,Uhlig,Harald,1146,Harald Uhlig,1.5,232,33,"Harald Uhlig Department of Economics, University of Chicago, Chicago, Illinois (USA)",4872,0,0,0,(USA),1
1689,Slemrod,Joel,2350,Joel Slemrod,21.0,290,37,"Joel Slemrod Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",5104,0,0,0,(USA),0
1688,Swinnen,Johan,3081,Johan Swinnen,4.0,540,31,"Johan Swinnen International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",3069,0,0,0,(USA),0
1687,Prescott,Edward,1550,Edward C. Prescott,37.5,250,44,"Edward C. Prescott Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",15057,0,0,1,(USA),0
1682,Guiso,Luigi,2035,Luigi Guiso,0.5,337,35,"Luigi Guiso Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",6665,0,0,0, Italy,0
1679,Alm,James,2719,James Alm,1.0,267,25,"James Alm Department of Economics, Tulane University, New Orleans, Louisiana (USA)",2355,0,0,0,(USA),0
1678,Ludwig,Edward,858,Edward Ludwig,11.0,377,54,"Edward Ludwig Glaeser Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",14020,0,0,0,(USA),1
1666,Jappelli,Tullio,1631,Tullio Jappelli,1.0,294,36,"Tullio Jappelli Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",4847,0,0,0, Italy,0
1656,Dreher,Axel,1969,Axel Dreher,7.0,399,33,"Axel Dreher Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",4108,0,0,0, Germany,0
1656,Belke,Ansgar,3783,Ansgar Belke,1.0,554,20,"Ansgar Belke Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaften, Universität Duisburg-Essen, Essen, Germany",1520,0,0,0, Germany,0
1648,Stock,James,1041,James H. Stock,3.5,176,49,"James H. Stock Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",21281,0,0,0,(USA),1
1636,McKibbin,Warwick,1622,Warwick J. McKibbin,1.5,256,15,"Warwick J. McKibbin Centre for Applied Macroeconomic Analysis (CAMA), Crawford School of Public Policy, Australian National University, Canberra, Australia",1305,0,0,0, Australia,0
1635,ifo,Clemens,2784,Clemens Fuest ifo,6.5,425,22,"Clemens Fuest ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",1682,0,0,0, Germany,0
1635,Falk,Armin,1248,Armin Falk,0.5,325,38,"Armin Falk briq Institute on Behavior and Inequality, Bonn, Germany",7236,0,0,0, Germany,0
1634,Griliches,Zvi,1175,Zvi Griliches,5.5,185,46,Zvi Griliches †,11299,0,1,0,None,0
1626,Watson,Mark,1756,Mark W. Watson,3.5,208,56,"Mark W. Watson Department of Economics, Princeton University, Princeton, New Jersey (USA)",16291,0,0,0,(USA),1
1624,Corsetti,Giancarlo,4146,Giancarlo Corsetti,2.5,427,33,"Giancarlo Corsetti Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",4726,0,0,0, United Kingdom,0
1620,Zingales,Luigi,1609,Luigi Zingales,0.5,245,43,"Luigi Zingales Booth School of Business, University of Chicago, Chicago, Illinois (USA)",13203,0,0,0,(USA),1
1617,De,Paul,1925,Paul De,1.0,299,23,"Paul De Grauwe European Institute, London School of Economics (LSE), London, United Kingdom",2014,0,0,0, United Kingdom,1
1616,Thisse,Jacques,3370,Jacques François Thisse,2.5,779,43,"Jacques François Thisse Center for Market Studies and Spatial Economics, Saint Petersburg Branch, National Research University Higher School of Economics, St. Petersburg, Russia",6750,0,0,0, Russia,0
1610,David,Michael,2468,Michael David,1.0,433,33,"Michael David Bordo Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",3929,0,0,0,(USA),0
1606,Greenwood,Jeremy,1397,Jeremy Greenwood,15.5,277,31,"Jeremy Greenwood Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",6478,0,0,0,(USA),0
1602,Rafael,Frank,1309,Frank Rafael,0.5,191,38,"Frank Rafael Smets European Central Bank, Frankfurt am Main, Germany",7409,0,0,0, Germany,0
1598,Audretsch,David,2139,David B. Audretsch,1.5,340,47,"David B. Audretsch School of Public and Environmental Affairs, Indiana University, Bloomington, Indiana (USA)",10212,0,0,0,(USA),0
1598,Deaton,Angus,1924,Angus S. Deaton,4.5,302,53,"Angus S. Deaton Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",12367,0,0,1,(USA),0
1597,Neumark,David,3291,David Neumark,4.0,411,39,"David Neumark Department of Economics, University of California-Irvine, Irvine, California (USA)",5490,0,0,0,(USA),0
1589,Rapoport,Hillel,1266,Hillel Rapoport,2.5,316,23,"Hillel Rapoport Paris School of Economics, Paris, France",2947,0,0,0, France,0
1588,ifo,Niklas,1903,Niklas Potrafke ifo,1.0,354,20,"Niklas Potrafke ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",1150,0,0,0, Germany,0
1586,Martinez-Vazquez,Jorge,1565,Jorge Martinez-Vazquez,2.5,313,21,"Jorge Martinez-Vazquez International Center for Public Policy, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",1619,0,0,0,(USA),0
1582,Nijkamp,Peter,6967,Peter Nijkamp,9.5,1320,31,"Peter Nijkamp Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",4415,0,0,0, Netherlands,0
1573,Solow,Robert,1090,Robert M. Solow,11.0,149,24,"Robert M. Solow Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",5823,0,1,1,(USA),1
1572,Docquier,Frédéric,1850,Frédéric Docquier,13.0,329,23,"Frédéric Docquier Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD), Esch-sur-Alzette, Luxembourg",2424,0,0,0, Luxembourg,0
1561,Rogerson,Richard,1510,Richard Rogerson,6.5,211,38,"Richard Rogerson Department of Economics, Princeton University, Princeton, New Jersey (USA)",5806,0,0,0,(USA),1
1554,School,Michael,1866,Michael Lechner School,8.0,333,22,"Michael Lechner School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",2378,0,0,0, Switzerland,0
1540,Baltagi,Badi,2689,Badi H. Baltagi,1.0,359,35,"Badi H. Baltagi Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",4493,0,0,0,(USA),0
1535,Campbell,John,2566,John Y. Campbell,13.5,363,60,"John Y. Campbell Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",18709,0,0,0,(USA),1
1531,Friedman,Milton,877,Milton Friedman,5.5,213,27,Milton Friedman †,6094,0,1,1,(USA),1
1529,Grossman,Gene,1193,Gene Grossman,5.0,292,42,"Gene Grossman International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",10542,0,0,0,(USA),1
1528,Zou,Heng-Fu,1680,Heng-Fu Zou,12.0,274,21,"Heng-Fu Zou China Economics and Management Academy, Central University of Finance and Economics (CUFE), Beijing, China",3225,0,0,0, China,0
1527,Henderson,J.,1928,J. Vernon Henderson,6.5,185,39,"J. Vernon Henderson Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",5849,0,0,0, United Kingdom,1
1526,Tabellini,Guido,1638,Guido Tabellini,1.0,307,47,"Guido Tabellini Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",9298,0,0,0, Italy,0
1517,Koop,Gary,2126,Gary Koop,1.0,334,29,"Gary Koop Economics Department, University of Strathclyde, Glasgow, United Kingdom",4505,0,0,0, United Kingdom,0
1509,Christiano,Lawrence,1651,Lawrence J. Christiano,5.0,285,42,"Lawrence J. Christiano Department of Economics, Northwestern University, Evanston, Illinois (USA)",7042,0,0,0,(USA),0
1503,Vivarelli,Marco,1267,Marco Vivarelli,16.0,242,25,"Marco Vivarelli Dipartimento di Politica Economica, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Italy",2084,0,0,0, Italy,0
