Rank,Author,Score,Author_clean
103,"Sergio T Rebelo Centre for Economic Policy Research (CEPR), London, United Kingdom",9622,Sergio T
104,"Thomas J. Sargent Department of Economics, New York University (NYU), New York City, New York (USA)",9609,Thomas J. Sargent
105,Stephen A. Ross †,9581,Stephen A. Ross
106,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",9482,Barry Julian
107,"Emmanuel Saez Department of Economics, University of California-Berkeley, Berkeley, California (USA)",9459,Emmanuel Saez
108,"Stephen John Nickell Economics Group, Nuffield College, Department of Economics, Oxford University, Oxford, United KingdomDepartment of Economics, Oxford University, Oxford, United Kingdom",9454,Stephen John
109,"David Autor Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",9388,David Autor
110,"John Michael van Reenen Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",9385,John Michael
111,"Luc Laeven European Central Bank, Frankfurt am Main, Germany",9367,Luc Laeven
112,"John B. Taylor Department of Economics, Stanford University, Stanford, California (USA)Hoover Institution on War Revolution & Peace, Stanford University, Stanford, California (USA)",9344,John B. Taylor
113,"Guido Tabellini Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",9298,Guido Tabellini
114,"David N. Weil Economics Department, Brown University, Providence, Rhode Island (USA)",9280,David N. Weil
115,"Jushan Bai Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",9235,Jushan Bai
116,"Paul Michael Romer Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",9176,Paul Michael
117,"Bruno S. Frey Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",9107,Bruno S. Frey
118,"William Easterly National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",9032,William Easterly
119,"Abhijit Vinayak Banerjee Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",8966,Abhijit Vinayak
120,"Shang-Jin Wei Fanhai International School of Finance, Fudan University, Shanghai, China",8958,Shang-Jin Wei
121,"Oded Galor Economics Department, Brown University, Providence, Rhode Island (USA)",8930,Oded Galor
122,"Lutz Kilian Federal Reserve Bank of Dallas, Dallas, Texas (USA)",8929,Lutz Kilian
123,Martin S. Feldstein †,8870,Martin S. Feldstein
124,"Bronwyn Hughes Hall Department of Economics, University of California-Berkeley, Berkeley, California (USA)",8814,Bronwyn Hughes
125,"Kevin M. Murphy Department of Economics, University of Chicago, Chicago, Illinois (USA)",8797,Kevin M. Murphy
126,"Anthony J. Venables Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom",8593,Anthony J. Venables
127,"Andrew B. Bernard Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",8592,Andrew B. Bernard
128,"Robert C. Feenstra Economics Department, University of California-Davis, Davis, California (USA)",8535,Robert C. Feenstra
129,"James Andreoni Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",8531,James Andreoni
130,Sanford Jay Grossman,8494,Sanford Jay
131,"Lars E. O. Svensson Handelshögskolan i Stockholm, Stockholm, Sweden",8422,Lars E. O.
132,"Stijn Claessens Bank for International Settlements (BIS), Basel, Switzerland",8391,Stijn Claessens
133,"Marianne Bertrand Booth School of Business, University of Chicago, Chicago, Illinois (USA)",8266,Marianne Bertrand
134,"Simon Gachter Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom",8252,Simon Gachter
135,"James Poterba Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",8224,James Poterba
136,"Nicholas Bloom Department of Economics, Stanford University, Stanford, California (USA)",8203,Nicholas Bloom
137,"Stephen Roy Bond Institute for Fiscal Studies (IFS), London, United Kingdom",8166,Stephen Roy
138,"Matthew Rabin Department of Economics, University of California-Berkeley, Berkeley, California (USA)",8133,Matthew Rabin
139,"Patrick Kehoe Department of Economics, Stanford University, Stanford, California (USA)",8105,Patrick Kehoe
140,Anthony Barnes Atkinson †,8083,Anthony Barnes
141,Sherwin Rosen †,8079,Sherwin Rosen
142,"Urs Fischbacher Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",8056,Urs Fischbacher
143,"George Borjas Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",7975,George Borjas
144,"Bengt Holmstrom Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",7968,Bengt Holmstrom
145,"Richard H. Clarida Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",7928,Richard H. Clarida
146,"Charles I. Jones Graduate School of Business, Stanford University, Stanford, California (USA)",7911,Charles I. Jones
147,"James R. Markusen Department of Economics, University of Colorado, Boulder, Colorado (USA)",7895,James R. Markusen
148,"Drew Fudenberg Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",7888,Drew Fudenberg
149,"Peter Howitt Economics Department, Brown University, Providence, Rhode Island (USA)",7874,Peter Howitt
150,"Frederic Mishkin Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",7678,Frederic Mishkin
151,"Boyan Jovanovic Department of Economics, New York University (NYU), New York City, New York (USA)",7661,Boyan Jovanovic
152,Finn E. Kydland,7650,Finn E. Kydland
153,"C. Knox Lovell School of Economics, University of Queensland, Brisbane, AustraliaCentre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia",7620,C. Knox Lovell
154,"Sheridan Titman Department of Finance, McCombs School of Business, University of Texas-Austin, Austin, Texas (USA)",7612,Sheridan Titman
155,"Sendhil Mullainathan Booth School of Business, University of Chicago, Chicago, Illinois (USA)",7581,Sendhil Mullainathan
156,"Gordon Hanson Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",7579,Gordon Hanson
157,"Uri Gneezy Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)Rady School of Management, University of California-San Diego (UCSD), La Jolla, California (USA)",7526,Uri Gneezy
158,"Mark P. Taylor Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",7524,Mark P. Taylor
159,"Eric S. Maskin Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",7515,Eric S. Maskin
160,"Simeon Djankov Finance Department, London School of Economics (LSE), London, United KingdomPeter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",7514,Simeon Djankov Finance
161,"Ariel Pakes Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",7491,Ariel Pakes
162,"Serena Ng Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",7461,Serena Ng
163,"Torben G. Andersen National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",7459,Torben G. Andersen
164,"Hyun Song Shin Bank for International Settlements (BIS), Basel, Switzerland",7412,Hyun Song
165,"Frank Rafael Smets European Central Bank, Frankfurt am Main, Germany",7409,Frank Rafael
166,"Christopher A Pissarides Economics Department, London School of Economics (LSE), London, United KingdomDepartment of Economics, Faculty of Economics and Management, University of Cyprus, Nicosia, Cyprus",7391,Christopher A
167,"Torsten Persson Institute for International Economic Studies (IIES), Stockholms Universitet, Stockholm, Sweden",7378,Torsten Persson
168,Jean-Jacques Laffont †,7367,Jean-Jacques Laffont
169,"Ricardo J. Caballero Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",7286,Ricardo J. Caballero
170,"Armin Falk briq Institute on Behavior and Inequality, Bonn, Germany",7236,Armin Falk
171,"Andrew Theo Levin Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",7218,Andrew Theo
172,"Douglas W. Diamond Booth School of Business, University of Chicago, Chicago, Illinois (USA)",7213,Douglas W. Diamond
173,"Adrian Rodney Pagan School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",7193,Adrian Rodney
174,"Peter A. Diamond Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",7159,Peter A. Diamond
175,"Lawrence J. Christiano Department of Economics, Northwestern University, Evanston, Illinois (USA)",7042,Lawrence J. Christiano
176,"Mark R. Rosenzweig Economic Growth Center, Economics Department, Yale University, New Haven, Connecticut (USA)",7032,Mark R. Rosenzweig
177,"Kenneth Train Department of Economics, University of California-Berkeley, Berkeley, California (USA)",7028,Kenneth Train
178,"Darrell Duffie Graduate School of Business, Stanford University, Stanford, California (USA)",7020,Darrell Duffie
179,"Robert S. Pindyck Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",6903,Robert S. Pindyck
180,"Jonathan Eaton Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",6820,Jonathan Eaton
181,"Glenn D. Rudebusch Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",6809,Glenn D. Rudebusch
182,"Eric A. Hanushek Hoover Institution on War Revolution & Peace, Stanford University, Stanford, California (USA)",6792,Eric A. Hanushek
183,"James MacKinnon Economics Department, Queen's University, Kingston, Canada",6752,James MacKinnon
184,"Jacques François Thisse Center for Market Studies and Spatial Economics, Saint Petersburg Branch, National Research University Higher School of Economics, St. Petersburg, Russia",6750,Jacques François Thisse
185,"Graciela Laura Kaminsky Department of Economics, George Washington University, Washington, District of Columbia (USA)",6741,Graciela Laura
186,"Jong-Wha Lee Department of Economics, Korea University, Seoul, South Korea",6680,Jong-Wha Lee
187,"Luigi Guiso Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",6665,Luigi Guiso
188,"Andrew Clark Paris School of Economics, Paris, France",6659,Andrew Clark
189,"Jose Alexandre Scheinkman Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",6657,Jose Alexandre
190,"Anil K Kashyap Booth School of Business, University of Chicago, Chicago, Illinois (USA)",6646,Anil K
191,"Martín Uribe National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",6641,Martín Uribe
192,"Manuel Trajtenberg Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",6640,Manuel Trajtenberg
193,Julio J. Rotemberg †,6630,Julio J. Rotemberg
194,"Thomas Lemieux Vancouver School of Economics, University of British Columbia, Vancouver, Canada",6596,Thomas Lemieux
195,"B. Douglas Bernheim Department of Economics, Stanford University, Stanford, California (USA)",6497,B. Douglas Bernheim
196,"Gianmarco I.P. Ottaviano Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",6496,Gianmarco I.P. Ottaviano
197,"Jeremy Greenwood Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",6478,Jeremy Greenwood
198,"David Isaac Laibson Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",6469,David Isaac
199,"Myron S. Scholes Graduate School of Business, Stanford University, Stanford, California (USA)",6445,Myron S. Scholes
200,"Gary Charness Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",6421,Gary Charness
201,"Janet Currie Department of Economics, Princeton University, Princeton, New Jersey (USA)Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",6405,Janet Currie
202,"Charles R. Nelson Department of Economics, University of Washington, Seattle, Washington (USA)",6396,Charles R. Nelson
202,"Carl Shapiro Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",6396,Carl Shapiro Walter
204,"Richard B. Freeman Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomNational Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",6367,Richard B. Freeman
205,Jacob A. Mincer †,6288,Jacob A. Mincer
206,William J. Baumol †,6279,William J. Baumol
207,"Alvin E. Roth Department of Economics, Stanford University, Stanford, California (USA)",6263,Alvin E. Roth
208,"Stephen James Redding International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",6239,Stephen James
209,"Charles F. Manski Department of Economics, Northwestern University, Evanston, Illinois (USA)Institute for Policy Research (IPR), Northwestern University, Evanston, Illinois (USA)",6238,Charles F. Manski
210,"John H. Cochrane Hoover Institution on War Revolution & Peace, Stanford University, Stanford, California (USA)",6229,John H. Cochrane
211,Kenneth J. Arrow †,6198,Kenneth J. Arrow
212,"Richard R. Nelson School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",6194,Richard R. Nelson
213,"Edward Lazear Graduate School of Business, Stanford University, Stanford, California (USA)",6181,Edward Lazear
214,"Robert Glenn Hubbard Graduate School of Business, Columbia University, New York City, New York (USA)",6148,Robert Glenn
215,"Josh Lerner Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",6113,Josh Lerner
216,"Neil Shephard Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",6108,Neil Shephard
217,"George Loewenstein Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",6103,George Loewenstein
218,"David Scharfstein Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",6102,David Scharfstein
219,Milton Friedman †,6094,Milton Friedman
220,"Lucrezia Reichlin Department of Economics, London Business School (LBS), London, United KingdomCentre for Economic Policy Research (CEPR), London, United Kingdom",6086,Lucrezia Reichlin
221,"Costas Meghir Economics Department, Yale University, New Haven, Connecticut (USA)",6083,Costas Meghir
222,"James E. Anderson Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",6058,James E. Anderson
223,"Richard Baldwin International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",6034,Richard Baldwin
224,"Simon Gilchrist Department of Economics, New York University (NYU), New York City, New York (USA)",6006,Simon Gilchrist
225,"Daniel L. McFadden Department of Economics, University of California-Berkeley, Berkeley, California (USA)Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",5996,Daniel L. McFadden
226,"Philip Richard Lane Department of Economics, Trinity College Dublin, Dublin, IrelandEuropean Central Bank, Frankfurt am Main, Germany",5991,Philip Richard
227,"David M. Kreps Graduate School of Business, Stanford University, Stanford, California (USA)",5984,David M. Kreps
228,"Zoltan J. Acs Schar School of Policy and Government, George Mason University, Arlington, Virginia (USA)Department of Management, London School of Economics (LSE), London, United Kingdom",5967,Zoltan J. Acs
229,"Jay R. Ritter Warrington College of Business, University of Florida, Gainesville, Florida (USA)",5955,Jay R. Ritter
230,"Jess Benhabib Department of Economics, New York University (NYU), New York City, New York (USA)",5949,Jess Benhabib
231,"Franklin Allen Business School, Imperial College, London, United Kingdom",5932,Franklin Allen
232,"Sebastian Edwards Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",5910,Sebastian Edwards
233,"Norman V. Loayza Economics Research, World Bank Group, Washington, District of Columbia (USA)",5906,Norman V. Loayza
234,"Randall Karl Morck School of Business, University of Alberta, Edmonton, Canada",5905,Randall Karl
235,"Charles Engel Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",5902,Charles Engel
236,"Pete Klenow Department of Economics, Stanford University, Stanford, California (USA)",5896,Pete Klenow
237,"David F. Hendry Department of Economics, Oxford University, Oxford, United Kingdom",5888,David F. Hendry
238,"Jean Charles Rochet Geneva Finance Research Institute (GFRI), Université de Genève, Genève, Switzerland",5870,Jean Charles
238,"Paresh Kumar Narayan Business School, Deakin University, Melbourne, Australia",5870,Paresh Kumar
240,"William A. Brock Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)Economics Department, University of Missouri, Columbia, Missouri (USA)",5860,William A. Brock
241,"J. Vernon Henderson Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",5849,J. Vernon Henderson
242,"Aart Kraay Economics Research, World Bank Group, Washington, District of Columbia (USA)",5837,Aart Kraay
243,"Robert M. Solow Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",5823,Robert M. Solow
