Rank,Author,Score
54,"Richard J. Cebula Center for the Study of Public Choice (CSPC), Economics Department, George Mason University, Fairfax, Virginia (USA)",502
54,"Richard B. Freeman Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomNational Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",502
56,"Ludger  Woessmann ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",500
57,"Chia-Lin  Chang Department of Applied Economics, National Chung-Hsing University, Taichung, TaiwanDepartment of Finance, National Chung-Hsing University, Taichung, Taiwan",499
58,"Andre Jean-Louis de Palma Département d'Économie et de Gestion, École Normale Supérieure Paris-Saclay (ENS), Cachan, FranceDépartement d'Économie, École Polytechnique, Palaiseau, France",498
59,"Gert G. Wagner Forschungsbasierte Infrastruktureinrichtung ""Sozio-oekonomisches Panel (SOEP)"", DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",496
59,Alberto Francesco Alesina †,496
61,"John Christopher Beghin Department of Agricultural Economics, University of Nebraska, Lincoln, Nebraska (USA)",484
62,Martin  Shubik †,478
62,"Jean  Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",478
64,"Raouf  Boucekkine Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), École d'Économie d'Aix-Marseille, Aix-Marseille Université, Marseille, France",475
65,"Ravi  Kanbur Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)Department of Economics, Cornell University, Ithaca, New York (USA)",466
66,Piet  Rietveld †,465
67,"Bruce Alan Babcock School of Public Policy, University of California-Riverside, Riverside, California (USA)",456
68,"James  Bullard Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",454
69,"Friedrich Georg Schneider Institut für Volkswirtschaftslehre, Johannes-Kepler-Universität Linz, Linz, Austria",452
70,"Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",450
70,"Stephen  Machin Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",450
72,"Martin  Ravallion Economics Department, Georgetown University, Washington, District of Columbia (USA)",445
73,Horst  Siebert †,441
74,"Xavier  Timbeau Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",436
75,"Michael David Bordo Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",433
75,"Andres  Rodriguez-Pose Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",433
77,"Kai A. Konrad Max-Planck-Institut für Steuerrecht und öffentliche Finanzen, Max-Planck-Gesellschaft, München, Germany",432
77,"John  Whalley Department of Economics, University of Western Ontario, London, Canada",432
79,"Mohsen  Bahmani-Oskooee Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",431
79,"David  Zilberman Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",431
79,"Georges  Dionne HEC Montréal (École des Hautes Études Commerciales), Montréal, Canada",431
82,"Nicholas Mbaya Odhiambo Department of Economics, College of Economic and Management Sciences, University of South Africa (UNISA), Pretoria, South Africa",429
83,"Giancarlo  Corsetti Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",427
84,"Clemens  Fuest ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",425
85,"David Knudsen Levine Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute, Firenze, Italy",424
86,"Stephen J  Turnovsky Department of Economics, University of Washington, Seattle, Washington (USA)",423
86,"Frederick (Rick)  van der Ploeg Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United KingdomDepartment of Economics, Oxford University, Oxford, United Kingdom",423
86,"Ngo Van Long Department of Economics, McGill University, Montréal, Canada",423
89,"Quentin  Wodon World Bank Group, Washington, District of Columbia (USA)",421
90,"Agnes  Benassy-Quere Paris School of Economics, Paris, France",420
91,"Olivia S. Mitchell National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Pension Research Council, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",419
92,"Thierry A. Verdier Paris School of Economics, Paris, France",416
92,"Glenn Paul Jenkins Ekonomi Bölümü, İşletme ve Ekonomi Fakültesi, Doğu Akdeniz Üniversitesi, Famagusta, Northern Cyprus",416
92,"Richard  Blundell Department of Economics, University College London (UCL), London, United Kingdom",416
95,"Christopher F Baum Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",415
96,"Peter H. Egger Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, SwitzerlandKOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",413
97,"David  Neumark Department of Economics, University of California-Irvine, Irvine, California (USA)",411
98,"Jaime A.P. de Melo Fondation pour les études et recherches sur le développment international (FERDI), Clermont-Ferrand, France",408
98,"Luca  Lambertini Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy",408
100,"Elhanan  Helpman Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",407
100,"Gianmarco I.P. Ottaviano Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",407
100,"Helen H. Jensen Department of Economics, Iowa State University, Ames, Iowa (USA)Center for Agricultural and Rural Development (CARD), Iowa State University, Ames, Iowa (USA)",407
100,"Eric  Heyer Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",407
104,"Christoph M. Schmidt RWI - Leibniz-Institut für Wirtschaftsforschung, Essen, Germany",406
105,Tom  Doan,405
105,"Thomas S. Jayne Department of Agricultural, Food and Resource Economics, College of Agriculture and Natural Resources, Michigan State University, East Lansing, Michigan (USA)",405
107,"Thomas Warren Hertel Center for Global Trade Analysis (GTAP), Department of Agricultural Economics, Purdue University, West Lafayette, Indiana (USA)",404
108,"Gerrit Cornelis van Kooten Department of Economics, University of Victoria, Victoria, Canada",402
109,"Oliver Bruce Linton Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",401
110,"Axel  Dreher Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",399
111,"Stephen  Morris Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",397
112,Nick  Hanley,395
113,"David E. Card Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",394
113,"Takatoshi  Ito School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",394
115,"Hubert  Bonin Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux, Bordeaux, France",393
116,"Alex  Bryson Department of Quantitative Social Science, Institute of Education, London, United Kingdom",392
116,"Kenneth S Rogoff Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",392
118,"Richard J. Zeckhauser Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",390
119,"Laurence J. Kotlikoff Department of Economics, Boston University, Boston, Massachusetts (USA)",388
119,"Thierry  Mayer Department of Economics, Sciences économiques, Sciences Po, Paris, France",388
121,"Gordon C. Rausser Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",387
121,"James  Poterba Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",387
123,"Jakob  de Haan Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",386
124,"Matthias  Sutter Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Max-Planck-Gesellschaft, Bonn, Germany",384
124,"Sylvester  Eijffinger https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",384
124,"Andrew Kenan Rose Economic Analysis & Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",384
127,"Rodolfo M. Nayga Jr.Department of Agricultural Economics and Agribusiness, University of Arkansas, Fayetteville, Arkansas (USA)",383
127,"John C. Williams Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)Federal Reserve Bank of New York, New York City, New York (USA)",383
129,"Iftekhar  Hasan Gabelli School of Business, Fordham University, New York City, New York (USA)Suomen Pankki, Helsinki, Finland",382
129,"William Arnold Barnett Department of Economics, University of Kansas, Lawrence, Kansas (USA)",382
129,"David A. Hennessy Department of Agricultural, Food and Resource Economics, College of Agriculture and Natural Resources, Michigan State University, East Lansing, Michigan (USA)",382
132,"Maurice  Obstfeld Department of Economics, University of California-Berkeley, Berkeley, California (USA)",381
133,"David  McKenzie Economics Research, World Bank Group, Washington, District of Columbia (USA)",379
133,"Ben S. Bernanke Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",379
133,"Xavier  Vives IESE Business School, Universidad de Navarra, Barcelona, Spain",379
136,"Christian S. Gourieroux Department of Economics, University of Toronto, Toronto, Canada",378
136,"Gregory  Ponthiere Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE), Université Paris-Est, Créteil, FranceParis School of Economics, Paris, France",378
138,"Jacques  Le Cacheux Centre D'Analyse Théorique et de Traitement des données économiques (CATT), Faculté de Droit d'Économie et de Gestion, Université de Pau et des Pays de l'Adour, Pau, France",377
138,"Edward Ludwig Glaeser Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",377
138,"Jikun  Huang China Center for Agricultural Policy (CCAP), Peking University, Beijing, China",377
141,"Stephan  Klasen CRC ""Armut, Ungleichheit und Wachstum in Entwicklungsländern"", Georg-August-Universität Göttingen, Göttingen, Germany",376
141,"Andreas  Peichl ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",376
141,"Oded  Stark Wydział Nauk Ekonomicznych, Uniwersytet Warszawski, Warszawa, Poland",376
141,"Yannick  L'Horty Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE), Université Paris-Est, Créteil, France",376
145,"Lars E. O. Svensson Handelshögskolan i Stockholm, Stockholm, Sweden",375
145,"Stephen M. Miller Department of Economics, Lee School of Business, University of Nevada-Las Vegas, Las Vegas, Nevada (USA)Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",375
147,"Alan  Auerbach Robert D. Burch Center for Tax Policy and Public Finance, Department of Economics, University of California-Berkeley, Berkeley, California (USA)",374
147,"Ernst  Fehr Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",374
149,"Russell  Smyth Department of Economics, Monash Business School, Monash University, Melbourne, Australia",373
150,"Hippolyte  d'Albis Paris School of Economics, Paris, France",372
150,"Olivier J Blanchard Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",372
152,"Gerard J. van den Berg Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",371
152,"David Matthew Levinson Institute of Transport and Logistics Studies (ITLS), Business School, University of Sydney, Sydney, Australia",371
154,"Rene M. Stulz Department of Finance, Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",370
154,"Stephen P. Jenkins Department of Social Policy, London School of Economics (LSE), London, United Kingdom",370
154,"Klaus  Wohlrabe ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",370
154,"Francis X. Diebold Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",370
158,"Arthur Herman Otto Van Soest https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",369
158,"Giovanni  Dosi Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",369
160,"Shang-Jin  Wei Fanhai International School of Finance, Fudan University, Shanghai, China",367
160,"P. Jean-Jacques  Herings Vakgroep Algemene Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",367
162,"Jere Richard Behrman Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",366
162,"Drew  Fudenberg Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",366
164,"Jan-Egbert  Sturm KOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",365
164,"Thomas J. Sargent Department of Economics, New York University (NYU), New York City, New York (USA)",365
166,"Michael Gerald Pollitt Energy Policy Research Group, Judge Business School, University of Cambridge, Cambridge, United Kingdom",364
167,"John Y. Campbell Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",363
167,"Willem Hendrik Buiter School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)Maurice R. Greenberg Center for Geoeconomic Studies, Council on Foreign Relations, Washington, District of Columbia (USA)",363
169,"Amitrajeet A Batabyal Department of Economics, Rochester Institute of Technology, Rochester, New York (USA)",362
169,"Andrew J. Oswald Department of Economics, University of Warwick, Coventry, United KingdomInstitute of Labor Economics (IZA), Bonn, Germany",362
169,"Marcel  Fafchamps Freeman Spogli Institute for International Studies, Stanford University, Stanford, California (USA)",362
172,"Hans  Gersbach CER-ETH Center of Economic Research, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, SwitzerlandInstitute of Labor Economics (IZA), Bonn, Germany",361
173,"Antonio  Afonso Unidade de Estudos sobre Complexidade e Economia (UECE), Research in Economics and Mathematics (REM), Instituto Superior de Economia e Gestão (ISEG), Universidade de Lisboa, Lisboa, Portugal",360
173,"Antonio  Estache European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",360
175,"Badi H. Baltagi Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",359
176,"David  de la Croix Institut de Recherche Économique et Sociale (IRES), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",358
177,"Jerome  Creel Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",357
177,"Christopher B. Barrett Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",357
179,"Philip  Arestis Department of Land Economy, University of Cambridge, Cambridge, United Kingdom",356
179,"Bernard  Hoekman Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute, Firenze, Italy",356
179,"Dean S. Karlan Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",356
182,Alan B. Krueger †,355
183,"Niklas  Potrafke ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",354
183,"John  Haltiwanger Department of Economics, University of Maryland, College Park, Maryland (USA)",354
185,"Sebastian  Edwards Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",352
185,"Catherine  Mathieu Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",352
187,"Valerie  Mignon EconomiX, Université Paris-Nanterre (Paris X), Nanterre, France",351
188,"Christian  Dreger DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",350
189,"Timothy J. Besley Economics Department, London School of Economics (LSE), London, United Kingdom",349
189,"Peter  Borm Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",349
191,Wallace E. Huffman †,348
191,"Daniel  Hamermesh Institute of Labor Economics (IZA), Bonn, Germany",348
193,"Finn  Tarp Development Economics Research Group - DERG, Økonomisk Institut, Københavns Universitet, København, Denmark",347
194,"Andre  Sapir European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, BelgiumBruegel, Bruxelles/Brussel, Belgium",346
195,"John  Gibson Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",344
196,"B Wade Brorsen Department of Agricultural Economics, Oklahoma State University, Stillwater, Oklahoma (USA)",343
196,"Shunsuke  Managi Urban Institute, Kyushu University, Fukuoka, Japan",343
196,"Hyun Song  Shin Bank for International Settlements (BIS), Basel, Switzerland",343
199,"Massimiliano  Marcellino Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, ItalyInnocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",342
200,"Ronald  MacDonald Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",341
200,"Jayson L. Lusk Department of Agricultural Economics, Purdue University, West Lafayette, Indiana (USA)",341
202,"David B. Audretsch School of Public and Environmental Affairs, Indiana University, Bloomington, Indiana (USA)",340
203,"Leonardo  Becchetti Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy",338
204,"Alan M. Taylor Economics Department, University of California-Davis, Davis, California (USA)",337
204,"Stephen James Redding International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",337
204,"Luigi  Guiso Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",337
204,"Jean-Paul  Fitoussi Department of Economics, Sciences économiques, Sciences Po, Paris, France",337
208,Carl  Chiarella †,336
209,"David  Martimort Paris School of Economics, Paris, France",335
209,"Claude  Montmarquette Centre Interuniversitaire de Recherche en Analyse des Organisations (CIRANO), Montréal, CanadaDépartement de Sciences Économiques, Université de Montréal, Montréal, Canada",335
211,"Gary  Koop Economics Department, University of Strathclyde, Glasgow, United Kingdom",334
211,"Gabriel J Felbermayr Institut für Weltwirtschaft (IfW), Kiel, Germany",334
213,"Michael  Lechner School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",333
213,"George E. Halkos Department of Economics, Aristotle University of Thessaloniki, Thessaloniki, Greece",333
215,"Cuong  Le Van Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris, FranceParis-Jourdan Sciences Économiques (PSE), Paris School of Economics, Paris, France",331
215,"Michel  Moreaux Toulouse School of Economics (TSE), Toulouse, France",331
215,"Dani  Rodrik Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",331
215,"Asli  Demirguc-Kunt World Bank Group, Washington, District of Columbia (USA)",331
219,"Mehmet  Balcilar Ekonomi Bölümü, İşletme ve Ekonomi Fakültesi, Doğu Akdeniz Üniversitesi, Famagusta, Northern Cyprus",330
219,"Jean-Luc  Gaffard Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",330
221,"Frédéric  Docquier Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD), Esch-sur-Alzette, Luxembourg",329
221,"Marcel  Boyer Département de Sciences Économiques, Université de Montréal, Montréal, Canada",329
221,"Seppo Mikko Sakari Honkapohja Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopisto, Helsinki, Finland",329
221,"Robert J. Barro Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",329
221,"Dominique Madeleine Guegan Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",329
226,Jean-Jacques  Laffont †,328
226,"Robin W. Boadway Economics Department, Queen's University, Kingston, Canada",328
226,"Lars P. Feld Walter Eucken Institut, Freiburg, Germany",328
229,"Costas  Meghir Economics Department, Yale University, New Haven, Connecticut (USA)",327
230,Philippe  Michel †,326
230,"Claudia  Kemfert DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",326
230,"Jean-Paul  Chavas Department of Agricultural & Applied Economics, University of Wisconsin-Madison, Madison, Wisconsin (USA)",326
233,"Armin  Falk briq Institute on Behavior and Inequality, Bonn, Germany",325
234,"Mike  Wright Business School, University of Nottingham, Nottingham, United Kingdom",324
234,"Pierre  Cahuc Department of Economics, Sciences économiques, Sciences Po, Paris, France",324
234,"Francois-Charles  Wolff Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA), Institut d'Économie et de Management de Nantes (IAE), Université de Nantes, Nantes, France",324
237,"Marcel  Fratzscher DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",323
237,Andrew J Hughes Hallett †,323
237,"Wing-Keung  Wong Department of Finance, College of Management, Asia University, Wufeng, Taiwan",323
237,"F. Larry Leistritz Department of Agribusiness and Applied Economics, North Dakota State University, Fargo, North Dakota (USA)",323
237,"Nicholas  Bloom Department of Economics, Stanford University, Stanford, California (USA)",323
242,"Oliver  Musshoff Institut für Agrarökonomie, Georg-August-Universität Göttingen, Göttingen, Germany",322
242,"Giovanni  Peri Economics Department, University of California-Davis, Davis, California (USA)",322
244,"Marc  Hallin European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",321
244,"Yi-Ming  Wei Center for Energy and Environmental Policy Research (CEEP), Beijing Institute of Technology, Beijing, China",321
246,"Anthony J. Venables Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom",320
246,"Lawrence H. Summers Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",320
