Rank,Author,Score
47,"Jaime Alfredo Bonet Centro de Estudios Economicos Regionales (CEER), Banco de la Republica de Colombia, Cartagena, Colombia",2900
48,"Muhammad  Shahbaz Center for Energy and Environmental Policy Research (CEEP), Beijing Institute of Technology, Beijing, China",2889
49,"Philippe  Aghion Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomParis School of Economics, Paris, France",2785
50,"Thorsten  Beck Cass Business School, City University, London, United Kingdom",2733
51,"Lawrence H. Summers Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2730
52,"Martin  Ravallion Economics Department, Georgetown University, Washington, District of Columbia (USA)",2583
53,"Richard S.J. Tol Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",2568
54,"Robert F. Engle IIIFinance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)Volatility Institute, Stern School of Business, New York University (NYU), New York City, New York (USA)",2567
55,"David E. Card Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2562
56,"Diego  Restuccia Department of Economics, University of Toronto, Toronto, Canada",2561
57,"Emad Abd Elmessih Shehata Agricultural Economics Research Institute (AERI), Agricultural Research Center (ARC), Giza, Egypt",2545
58,"Joao M.C. Santos Silva School of Economics, University of Surrey, Guildford, United Kingdom",2531
59,"Lutz  Kilian Federal Reserve Bank of Dallas, Dallas, Texas (USA)",2520
60,"Hyun Song  Shin Bank for International Settlements (BIS), Basel, Switzerland",2517
61,"Adolfo  Meisel Roca Instituto de Estudios Económicos del Caribe, Universidad del Norte, Barranquilla, Colombia",2512
62,"John  Gilbert Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State University, Logan, Utah (USA)",2480
63,"Rene M. Stulz Department of Finance, Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",2469
64,James  Tobin †,2444
65,"Richard  Baldwin International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",2418
66,"Ricardo  Reis Economics Department, London School of Economics (LSE), London, United Kingdom",2413
67,"David  Bloom Department of Global Health and Population, Harvard T. H. Chan School of Public Health, Harvard University, Cambridge, Massachusetts (USA)",2407
68,"Ugo  Panizza International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",2401
69,"Ron  Boschma Disciplinegroep Economische Geografie, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",2388
70,Jacob A. Mincer †,2378
71,"Andres  Rodriguez-Pose Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",2372
72,"Robert J. Shiller Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",2371
73,"Richard  Blundell Department of Economics, University College London (UCL), London, United Kingdom",2349
74,"Yoto V. Yotov School of Economics, LeBow College of Business, Drexel University, Philadelphia, Pennsylvania (USA)",2347
75,"Gabriel J Felbermayr Institut für Weltwirtschaft (IfW), Kiel, Germany",2339
76,"Steven  Stillman Facoltà di Economia / Wirtschaftswissenschaftliche Fakutät, Libera Università di Bolzano / Freie Universität Bozen, Bozen-Bolzano, Italy",2335
77,"Roy  Wada Health Policy Center, Institute of Health Research and Policy, University of Illinois at Chicago, Chicago, Illinois (USA)",2329
78,"Alan M. Taylor Economics Department, University of California-Davis, Davis, California (USA)",2328
79,"Klaus  Prettner Institut für Volkswirtschaftslehre, Fakultät Wirtschafts- und Sozialwissenschaften, Universität Hohenheim, Hohenheim, Germany",2311
80,"Esther  Duflo Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2301
81,"Ayhan  Kose World Bank Group, Washington, District of Columbia (USA)",2298
82,"Giovanni  Peri Economics Department, University of California-Davis, Davis, California (USA)",2291
83,"Elizabeth  Brainerd Department of Economics, International Business School, Brandeis University, Waltham, Massachusetts (USA)",2288
84,"Mark V. Siegler Department of Economics, California State University-Sacramento, Sacramento, California (USA)",2254
85,Kenneth J. Arrow †,2238
86,"John  Gibson Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",2223
87,"Luis Armando Galvis-Aponte Regional Economics Applications Laboratory (REAL), University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",2222
88,"Bruno S. Frey Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",2215
89,"Shang-Jin  Wei Fanhai International School of Finance, Fudan University, Shanghai, China",2209
90,"Kenneth R. French Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",2208
91,"Fernando  Estrada Facultad de Economía, Universidad Externado de Colombia, Bogotá, Colombia",2204
92,"Christian  Dustmann Department of Economics, University College London (UCL), London, United KingdomCentre for Research and Analysis of Migration (CReAM), University College London (UCL), London, United Kingdom",2201
93,"David  McKenzie Economics Research, World Bank Group, Washington, District of Columbia (USA)",2187
94,"Anthony J. Venables Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom",2172
95,"Timothy J. Besley Economics Department, London School of Economics (LSE), London, United Kingdom",2156
96,"Peter C. B. Phillips Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)School of Economics, Singapore Management University, Singapore, Singapore",2140
97,"Paul Michael Romer Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",2131
98,"Kenneth S Rogoff Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",2129
99,"Norman V. Loayza Economics Research, World Bank Group, Washington, District of Columbia (USA)",2117
100,"Thomas I. Palley Forum for Macroeconomics and Macroeconomic Policies, Hans Böckler Stiftung, Düsseldorf, Germany",2114
101,"Tobias  Adrian International Monetary Fund (IMF), Washington, District of Columbia (USA)",2113
102,"Christopher  Sims Department of Economics, Princeton University, Princeton, New Jersey (USA)",2107
103,"Raghuram G. Rajan George J. Stigler Center for the Study of the Economy and the State, Booth School of Business, University of Chicago, Chicago, Illinois (USA)Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2102
104,"Daniele  Schiliro' Dipartimento di Economia, Università degli Studi di Messina, Messina, Italy",2100
105,"Joaquin  Vespignani School of Economics and Finance, Tasmanian School of Business and Economics, University of Tasmania, Hobart, Australia",2091
106,"Joshua D Angrist Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2090
107,"Luc  Laeven European Central Bank, Frankfurt am Main, Germany",2085
108,"Ernst  Fehr Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",2077
109,Paul A. Samuelson †,2067
110,"Stijn  Claessens Bank for International Settlements (BIS), Basel, Switzerland",2059
111,"Andrew  Clark Paris School of Economics, Paris, France",2048
112,"Lucrezia  Reichlin Department of Economics, London Business School (LBS), London, United KingdomCentre for Economic Policy Research (CEPR), London, United Kingdom",2046
113,Douglass C. North †,2045
113,"Fabio José Sanchez Torres Facultad de Economía, Universidad de los Andes, Bogotá, ColombiaCentro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los Andes, Bogotá, Colombia",2045
115,"Martin  Eichenbaum Department of Economics, Northwestern University, Evanston, Illinois (USA)",2030
116,"Michael  McAleer Department of Finance, College of Management, Asia University, Wufeng, Taiwan",2028
117,"Austin  Nichols Urban Institute, Washington, District of Columbia (USA)Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",2025
118,"Federico  Belotti Centro di Studi Internazionali Sull'Economia e la Sviluppo (CEIS), Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, ItalyDipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy",2018
119,"Peter H. Egger Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, SwitzerlandKOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",2013
120,"John  Haltiwanger Department of Economics, University of Maryland, College Park, Maryland (USA)",2004
121,"Guido  Imbens Graduate School of Business, Stanford University, Stanford, California (USA)",1983
122,"Markus K. Brunnermeier Department of Economics, Princeton University, Princeton, New Jersey (USA)",1982
123,"Jakob  de Haan Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1978
124,"Allen N. Berger Financial Institutions Center, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1969
125,"Carl Benedikt  Frey Economics, Oxford Martin School, Oxford University, Oxford, United Kingdom",1968
126,"Gianmarco I.P. Ottaviano Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",1965
127,"Philip Richard Lane Department of Economics, Trinity College Dublin, Dublin, IrelandEuropean Central Bank, Frankfurt am Main, Germany",1953
128,"N. Gregory  Mankiw Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",1951
129,"James  MacKinnon Economics Department, Queen's University, Kingston, Canada",1946
130,"Stephen  Machin Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",1937
131,"Franklin  Allen Business School, Imperial College, London, United Kingdom",1935
132,"Jose-Luis  Peydro Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1930
133,"Stephan  Klasen CRC ""Armut, Ungleichheit und Wachstum in Entwicklungsländern"", Georg-August-Universität Göttingen, Göttingen, Germany",1916
134,"Nicholas  Crafts Department of Economics, University of Warwick, Coventry, United Kingdom",1914
135,"Matthew E. Kahn Department of Economics, University of Southern California, Los Angeles, California (USA)",1912
136,"Frederic  Mishkin Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",1909
137,"Haroon  Mumtaz School of Economics and Finance, Queen Mary University of London, London, United Kingdom",1905
138,"Joao Pedro  Azevedo World Bank Group, Washington, District of Columbia (USA)",1898
138,"James Alan Robinson Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",1898
140,"Jordi  Gali Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1896
141,"Stephen James Redding International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",1882
141,"Leonardo  Gambacorta Bank for International Settlements (BIS), Basel, Switzerland",1882
143,"David Camilo Lopez Banco de la Republica de Colombia, Bogotá, Colombia",1879
144,"Dimitris  Korobilis Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",1875
145,"Friedrich Georg Schneider Institut für Volkswirtschaftslehre, Johannes-Kepler-Universität Linz, Linz, Austria",1874
146,"Marco  Del Negro Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",1870
147,"Oscar  Jorda Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",1868
148,Clive W. J. Granger †,1861
149,"Pascual  Restrepo Department of Economics, Boston University, Boston, Massachusetts (USA)",1859
150,"Yuriy  Gorodnichenko Department of Economics, University of California-Berkeley, Berkeley, California (USA)",1855
151,"Carlos Esteban Posada Escuela de Economía y Finanzas, Universidad EAFIT, Medellín, ColombiaCentro de Investigaciones Económicas y Financieras (CIEF), Escuela de Economía y Finanzas, Universidad EAFIT, Medellín, Colombia",1853
152,"Elhanan  Helpman Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",1850
153,"Yongcheol  Shin Department of Economics and Related Studies, University of York, York, United Kingdom",1846
154,"David  Autor Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1843
155,"Ricardo  Hausmann Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)Center for International Development, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",1834
156,"Claudio  Borio Bank for International Settlements (BIS), Basel, Switzerland",1829
157,"Guillermo A. Calvo School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",1828
158,"Michael  Woodford Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1825
159,"Jesus  Fernandez-Villaverde Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1824
160,"Jeffrey Alexander Frankel Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",1817
161,"Thierry  Mayer Department of Economics, Sciences économiques, Sciences Po, Paris, France",1804
162,"Sascha O. Becker Department of Economics, Monash Business School, Monash University, Melbourne, Australia",1801
163,"Marco  Pagano Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",1789
164,"Ludger  Woessmann ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",1786
165,"Mohsen  Bahmani-Oskooee Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",1782
166,"Maurice  Obstfeld Department of Economics, University of California-Berkeley, Berkeley, California (USA)",1778
167,"Ronald A. Ratti Economics Department, University of Missouri, Columbia, Missouri (USA)",1765
167,"Jan Ernst Fagerberg Senter for teknologi, innovasjon og kultur (TIK), Universitetet i Oslo, Oslo, Norway",1765
169,"Tomas  Havranek Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1749
170,"Jerry A. Hausman Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1740
171,"Sendhil  Mullainathan Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1734
172,"Susan Carleton Athey Graduate School of Business, Stanford University, Stanford, California (USA)",1717
173,"Harald  Uhlig Department of Economics, University of Chicago, Chicago, Illinois (USA)",1713
174,"Sayef  Bakari Faculté des Sciences Économiques et de Gestion, Université de Tunis El Manar, Tunis, Tunisia",1711
175,"Andrew Kenan Rose Economic Analysis & Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",1710
176,"Joel  Slemrod Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",1689
177,"Johan  Swinnen International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",1688
178,"Edward C. Prescott Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",1687
179,"Luigi  Guiso Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",1682
180,"James  Alm Department of Economics, Tulane University, New Orleans, Louisiana (USA)",1679
181,"Edward Ludwig Glaeser Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",1678
182,"Tullio  Jappelli Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",1666
183,"Shapour  Mohammadi Faculty of Economics, University of Tehran, Tehran, Iran",1661
184,"Axel  Dreher Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",1656
184,"Ansgar  Belke Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaften, Universität Duisburg-Essen, Essen, Germany",1656
186,"Engelbert  Stockhammer Department of European and International Studies, King's College London, London, United Kingdom",1650
187,"James H. Stock Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",1648
188,"Warwick J. McKibbin Centre for Applied Macroeconomic Analysis (CAMA), Crawford School of Public Policy, Australian National University, Canberra, Australia",1636
189,"Clemens  Fuest ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",1635
189,"Armin  Falk briq Institute on Behavior and Inequality, Bonn, Germany",1635
191,Zvi  Griliches †,1634
192,"Mark W. Watson Department of Economics, Princeton University, Princeton, New Jersey (USA)",1626
193,"Giancarlo  Corsetti Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",1624
194,"Luigi  Zingales Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1620
194,"Silvana  Tenreyro Economics Department, London School of Economics (LSE), London, United KingdomMonetary Policy Committee (MPC), Bank of England, London, United Kingdom",1620
196,"Gauti B. Eggertsson Economics Department, Brown University, Providence, Rhode Island (USA)",1618
197,"Paul  De Grauwe European Institute, London School of Economics (LSE), London, United Kingdom",1617
198,"Jacques François Thisse Center for Market Studies and Spatial Economics, Saint Petersburg Branch, National Research University Higher School of Economics, St. Petersburg, Russia",1616
199,"Michael David Bordo Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",1610
200,"Felix  Jimenez Departamento de Economía, Pontificia Universidad Católica del Perú, Lima, Peru",1606
200,"Jeremy  Greenwood Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1606
202,"Edwin  Leuven Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",1603
203,"Frank Rafael Smets European Central Bank, Frankfurt am Main, Germany",1602
204,"David B. Audretsch School of Public and Environmental Affairs, Indiana University, Bloomington, Indiana (USA)",1598
204,"Angus S. Deaton Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",1598
206,"Massimiliano  Marcellino Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, ItalyInnocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",1597
206,"David  Neumark Department of Economics, University of California-Irvine, Irvine, California (USA)",1597
208,"Alberto  Abadie Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1590
209,"Luc  Renneboog https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1589
209,"Jose Eduardo Gomez-Gonzalez Escuela Internacional de Ciencias Económicas y Administrativas, Universidad de La Sabana, Cundinamarca, Colombia",1589
209,"Hillel  Rapoport Paris School of Economics, Paris, France",1589
212,"Niklas  Potrafke ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",1588
213,"Jorge  Martinez-Vazquez International Center for Public Policy, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",1586
213,"Luis Eduardo Arango Thomas Banco de la Republica de Colombia, Bogotá, Colombia",1586
215,"Peter  Nijkamp Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1582
216,"Daniel  Kahneman Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",1579
217,"Robert M. Solow Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1573
218,"Frédéric  Docquier Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD), Esch-sur-Alzette, Luxembourg",1572
219,"Jong-Wha  Lee Department of Economics, Korea University, Seoul, South Korea",1567
220,"Richard  Rogerson Department of Economics, Princeton University, Princeton, New Jersey (USA)",1561
221,"Michael  Lechner School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",1554
222,"Alejandro  Gaviria Centro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los Andes, Bogotá, Colombia",1553
223,"John C. Frain Department of Economics, Trinity College Dublin, Dublin, Ireland",1549
224,"Javier G. Gomez-Pineda Banco de la Republica de Colombia, Bogotá, Colombia",1548
224,"Tim  Bollerslev Department of Economics, Duke University, Durham, North Carolina (USA)",1548
226,"Badi H. Baltagi Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",1540
227,"John Y. Campbell Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",1535
228,"Mario  Larch Rechts- und Wirtschaftswissenschaftliche Fakultät, Universität Bayreuth, Bayreuth, Germany",1533
229,"Charles I. Jones Graduate School of Business, Stanford University, Stanford, California (USA)",1532
230,Milton  Friedman †,1531
231,"Gene  Grossman International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",1529
232,"Heng-Fu  Zou China Economics and Management Academy, Central University of Finance and Economics (CUFE), Beijing, China",1528
233,"J. Vernon  Henderson Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",1527
234,"Guido  Tabellini Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",1526
235,"Barbara  Sianesi Institute for Fiscal Studies (IFS), London, United KingdomESRC Centre for the Microeconomic Analysis of Public Policy (CPP), Institute for Fiscal Studies (IFS), London, United Kingdom",1522
236,"Gary  Koop Economics Department, University of Strathclyde, Glasgow, United Kingdom",1517
237,"Lawrence J. Christiano Department of Economics, Northwestern University, Evanston, Illinois (USA)",1509
238,"Guglielmo Maria  Caporale Department of Economics and Finance, Brunel University, Uxbridge, United Kingdom",1506
239,"Sebastian  Kripfganz Department of Economics, Business School, University of Exeter, Exeter, United Kingdom",1504
240,"Marco  Vivarelli Dipartimento di Politica Economica, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Italy",1503
241,"Yves  Zenou Department of Economics, Monash Business School, Monash University, Melbourne, Australia",1497
242,"Xavier  Sala-i-Martin Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1495
243,Halbert  White †,1483
243,"Pierre-Richard  Agenor School of Economics, University of Manchester, Manchester, United Kingdom",1483
245,"Marcel Peter Timmer Groningen Growth and Development Centre (GGDC), Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1480
246,Stephen A. Ross †,1479
247,"Robert C. Feenstra Economics Department, University of California-Davis, Davis, California (USA)",1475
247,"Adrian Rodney Pagan School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",1475
249,George J. Stigler †,1467
250,"Robert C. Merton Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1466
251,"Antonio  Afonso Unidade de Estudos sobre Complexidade e Economia (UECE), Research in Economics and Mathematics (REM), Instituto Superior de Economia e Gestão (ISEG), Universidade de Lisboa, Lisboa, Portugal",1465
252,"Gert  Peersman Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",1463
252,"Francis X. Diebold Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1463
254,"Juan Fernando Vargas Facultad de Economía, Universidad del Rosario, Santa Fe de Bogotá, Colombia",1460
255,"Clement Allan Tisdell School of Economics, University of Queensland, Brisbane, Australia",1457
256,"Eduardo Amaral Haddad Departamento de Economia, Faculdade de Economia, Administração e Contabilidade, Universidade de São Paulo, São Paulo, Brazil",1456
257,"Stijn  Baert Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",1453
257,"Daniel  Hamermesh Institute of Labor Economics (IZA), Bonn, Germany",1453
259,"Alan S. Blinder Griswold Center for Economic Policy Studies, Department of Economics, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",1445
260,"Daniel L. McFadden Department of Economics, University of California-Berkeley, Berkeley, California (USA)Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",1441
261,"Rajeswari  Sengupta Indira Gandhi Institute of Development Research (IGIDR), Mumbai, India",1439
262,"Kamiar  Mohaddes Judge Business School, University of Cambridge, Cambridge, United Kingdom",1434
262,"Mary  Amiti Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",1434
264,"Sheridan  Titman Department of Finance, McCombs School of Business, University of Texas-Austin, Austin, Texas (USA)",1433
265,"Marianne  Bertrand Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1429
266,"James  Hamilton Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",1424
266,"Annamaria  Lusardi School of Business, George Washington University, Washington, District of Columbia (USA)",1424
268,"Aviral Kumar Tiwari Rajagiri Business School, Kochi, India",1422
